Location,EMF,Group Mean,Group diff,Squared Diff,,
Walmart,5.123,,,,,
Walmart,4.89,,,,,
Walmart,5.345,,,,,
Walmart,6.2,,,,,
Walmart,6.432,,,,,
Walmart,7.1,,,,,
Walmart,5.765,,,,,
Walmart,6.567,,,,,
Walmart,5.987,,,,,
Walmart,6.345,,,,,
Walmart,7.123,,,,,
Walmart,6.89,,,,,
Walmart,7.234,,,,,
Walmart,7.567,,,,,
Walmart,8.123,,,,,
Walmart,7.89,,,,,
Walmart,8.345,,,,,
Walmart,8.567,,,,,
Walmart,7.987,,,,,
Abandoned Walmart,9.123,,,,,
Abandoned Walmart,9.345,,,,,
Abandoned Walmart,9.678,,,,,
Abandoned Walmart,10.123,,,,,
Abandoned Walmart,9.89,,,,,
Abandoned Walmart,10.567,,,,,
Abandoned Walmart,11.123,,,,,
Abandoned Walmart,10.89,,,,,
Abandoned Walmart,11.234,,,,,
Abandoned Walmart,11.567,,,,,
Abandoned Walmart,12.123,,,,,
Abandoned Walmart,11.89,,,,,
Abandoned Walmart,12.345,,,,,
Abandoned Walmart,12.567,,,,,
Abandoned Walmart,12.987,,,,,
Abandoned Walmart,13.123,,,,,
Abandoned Walmart,13.345,,,,,
Abandoned Walmart,13.678,,,,,
Ikea,14.123,,,,,
Ikea,14.345,,,,,
Ikea,14.567,,,,,
Ikea,14.89,,,,,
Ikea,15.123,,,,,
Ikea,15.567,,,,,
Ikea,15.89,,,,,
Ikea,15.234,,,,,
Ikea,16.123,,,,,
Ikea,16.345,,,,,
Ikea,16.567,,,,,
Ikea,16.89,,,,,
Ikea,17.123,,,,,
Ikea,17.345,,,,,
Ikea,17.678,,,,,
Ikea,18.123,,,,,
Ikea,18.345,,,,,
Ikea,18.567,,,,,
Gettysburg,19.123,,,,,
Gettysburg,19.345,,,,,
Gettysburg,19.567,,,,,
Gettysburg,19.89,,,,,
Gettysburg,20.123,,,,,
Gettysburg,20.345,,,,,
Gettysburg,20.567,,,,,
Gettysburg,20.89,,,,,
Gettysburg,21.123,,,,,
Gettysburg,21.345,,,,,
Gettysburg,21.567,,,,,
Gettysburg,21.89,,,,,
Gettysburg,22.123,,,,,
Gettysburg,22.345,,,,,
Gettysburg,22.567,,,,,
Gettysburg,22.89,,,,,
Gettysburg,23.123,,,,,
Gettysburg,23.345,,,,,
The Woods,24.567,,,,,
The Woods,24.89,,,,,
The Woods,25.123,,,,,
The Woods,25.345,,,,,
The Woods,25.567,,,,,
The Woods,25.89,,,,,
The Woods,25.123,,,,,
The Woods,24.345,,,,,
The Woods,24.567,,,,,
The Woods,24.89,,,,,
The Woods,24.123,,,,,
The Woods,24.345,,,,,
The Woods,24.567,,,,,
The Woods,24.89,,,,,
The Woods,25.123,,,,,
The Woods,25.345,,,,,
The Woods,25.567,,,,,
The Woods,25.89,,,,,
Unused Stairwell,12.123,,,,,
Unused Stairwell,12.345,,,,,
Unused Stairwell,12.567,,,,,
Unused Stairwell,12.89,,,,,
Unused Stairwell,13.123,,,,,
Unused Stairwell,13.345,,,,,
Unused Stairwell,13.567,,,,,
Unused Stairwell,13.89,,,,,
Unused Stairwell,14.123,,,,,
Unused Stairwell,14.345,,,,,
Unused Stairwell,14.567,,,,,
Unused Stairwell,14.89,,,,,
Unused Stairwell,15.123,,,,,
Unused Stairwell,15.345,,,,,
Unused Stairwell,15.567,,,,,
Unused Stairwell,15.89,,,,,
Unused Stairwell,16.123,,,,,
Unused Stairwell,16.345,,,,,
RIT Tunnels,7.567,,,,,
RIT Tunnels,7.89,,,,,
RIT Tunnels,7.123,,,,,
RIT Tunnels,7.345,,,,,
RIT Tunnels,7.567,,,,,
RIT Tunnels,7.89,,,,,
RIT Tunnels,7.123,,,,,
RIT Tunnels,7.345,,,,,
RIT Tunnels,7.567,,,,,
RIT Tunnels,7.89,,,,,
RIT Tunnels,7.123,,,,,
RIT Tunnels,7.345,,,,,
RIT Tunnels,7.567,,,,,
RIT Tunnels,7.89,,,,,
RIT Tunnels,7.123,,,,,
RIT Tunnels,7.345,,,,,
RIT Tunnels,7.567,,,,,
RIT Tunnels,7.89,,,,,
Stats Classroom,10.123,,,,,
Stats Classroom,10.345,,,,,
Stats Classroom,10.567,,,,,
Stats Classroom,10.89,,,,,
Stats Classroom,11.123,,,,,
Stats Classroom,11.345,,,,,
Stats Classroom,11.567,,,,,
Stats Classroom,11.89,,,,,
Stats Classroom,12.123,,,,,
Stats Classroom,12.345,,,,,
Stats Classroom,12.567,,,,,
Stats Classroom,12.89,,,,,
Stats Classroom,13.123,,,,,
Stats Classroom,13.345,,,,,
Stats Classroom,13.567,,,,,
Stats Classroom,13.89,,,,,
Stats Classroom,14.123,,,,,
Stats Classroom,14.345,,,,,
Stats Classroom,14.567,,,,,
