Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2019,"12        ",Male,17,Left-Handed,"5'9""",10.5,Idk,1,Car,10,0.726,41,Tennis,500,200,800,1000,800,1000,10.5,,79,84,"Index finger",February,Winter,No,No,Poultry,Water,"Mathematics and statistics",8,10,5,"Yes - broadband connection","Text messaging",25,50,80,0,5,2,24,2,28,24,all,80,16,6,Some,"Undergraduate degree","Rap/Hip hop","Freeze time",Happy,"Musician or singer","Education/Youth development"
USA,NY,2023,"12        ",Male,16,Right-Handed,173,27,181,1,Bus,10,1,48,Baseball/Softball,500,700,800,500,100,1000,27,"Right foot",85,86,"Index finger",June,Summer,Yes,No,Meat,Juice,"Social studies",8,,10,"Yes - other","Text messaging",1000,1000,5,,,,,,,,,,,,,,,,,,
USA,NY,2019,"6         ",Female,11,Right-Handed,140,22,138.5,1,Bus,20,1.115,53,None,"?? ","?? ","90 ","?? ",10,"?? ",21,"Right foot",6,5,"Index finger",September,Summer,No,No,Fruit,Water,Music,10,11,4,"Yes - broadband connection","Cell phone",0,0,1,5,1,6,3,0,2,1,8,3,0,0,"A lot","Graduate degree",Pop,Invisibility,Rich,Friend,Health
USA,NY,2020,"6         ",Male,12,Right-Handed,176,26,172,3,Bus,45,0.35,44,Soccer,900,700,700,900,400,200,26,"Same length",80,85,"Ring finger",January,Winter,No,No,Meat,Water,"Mathematics and statistics",10,8,4,"Yes - other",Other,3,5,1,1,5,12,15,3,0,0.5,4,4,0,10,None,,"Rap/Hip hop","Freeze time",Rich,"Sports person",Environment
USA,NY,2014,"9         ",Male,15,Right-Handed,165,23,168,1,Walk,12,0.358,47,"Football (American)",500,500,500,1000,200,100,23,"Same length",70,70,"Same length",July,Summer,No,No,Meat,"Sports drink","Social studies",8,7,2,"Yes - broadband connection","Text messaging",90,100,3,1,10,9,18,1,0,10,2,3,0,5,Some,"Graduate degree","Rap/Hip hop","Super strength",Rich,"Coach or club leader","International aid"
USA,NY,2020,"12        ",Female,17,Right-Handed,175,24,172,1,Car,13,0.424,47,Swimming,503,465,476,460,904,973,25,"Left foot",70,80,"Ring finger",May,Summer,Yes,No,Desserts,Water,English,7,6,4,"Yes - broadband connection","Text messaging",45,50,5,1,8,2,12,1,6,2,10,5,25,1.5,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
USA,NY,2018,"5         ",Male,11,Right-Handed,145,24,144,1,Car,40,0.4,43,Basketball,100,999,500,200,1000,1000,24,"Same length",85,80,"Index finger",May,Spring,Yes,No,Meat,Water,"Mathematics and statistics",8,6,4,"Yes - other","Cell phone",0,0,21,0,7,14,21,21,20,7,3,7,0,0,Some,"Some college","Rap/Hip hop",Fly,Healthy,Friend,"Wildlife, animals"
USA,NY,2019,"12        ",Female,17,Right-Handed,160,21,163,3,"Rail (Train/Tram/Subway)",50,0.72,39,Cycling,1000,1000,900,1000,650,900,21,"Same length",85,92,"Ring finger",August,Fall,Yes,No,Pizza/Pasta,Water,English,7,9,11,"Yes - broadband connection","In person",10,10,6,0,2,10,2,9,4,3,50,0,10,1,Some,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,Other,"International aid"
USA,NY,2022,"10        ",Male,15,Right-Handed,174,26,172,2,Bus,50,0.709,36,Other,750,750,1000,900,1000,1000,26,"Same length",75,77,"Ring finger",June,Summer,Yes,No,Meat,Water,"Mathematics and statistics",7,8,4,"Yes - other","Cell phone",100,100,1,20,10,5,5,35,20,5,30,0,0,2,"A lot","Graduate degree",Other,Fly,Happy,Friend,Health
USA,NY,2022,"12        ",Male,17,Right-Handed,166,,,1,Walk,10,231,45,Tennis,,,,,,,,,,,"Same length",July,Winter,Yes,No,Meat,,Science,4,7,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,,,,,,,,,,,,,"A lot","Graduate degree",Other,"Super strength",Happy,Other,Other
USA,NY,2019,"9         ",Male,15,Right-Handed,170,28,180,1,"Rail (Train/Tram/Subway)",55,0.418,55,Basketball,0,0,0,0,100,100,28,"Same length",78,83,"Ring finger",August,Summer,No,No,Pizza/Pasta,Juice,"Mathematics and statistics",7,8,4,,,2000,1000,5,4,3,1,8,10,12,9,12,2,0,1,Some,"Graduate degree","Rap/Hip hop","Super strength",Rich,"Sports person",Other
